"participant_id","Task","condition","exp","mean_time","mean_error","invefi"
"130","Increasing","Incongruent","Italian Preschoolers",0.717495461538462,0.133333333333333,0.827879378698225
"131","Decreasing","Congruent","Italian Preschoolers",1.30070625,0.2,1.6258828125
"131","Decreasing","Incongruent","Italian Preschoolers",1.31494953846154,0.133333333333333,1.51724946745562
"131","Increasing","Congruent","Italian Preschoolers",1.09224192857143,0.0666666666666667,1.17025920918367
"131","Increasing","Incongruent","Italian Preschoolers",1.00909171428571,0.0666666666666667,1.08116969387755
"132","Decreasing","Congruent","Italian Preschoolers",1.33265972727273,0.266666666666667,1.81726326446281
"132","Decreasing","Incongruent","Italian Preschoolers",1.314274,0.333333333333333,1.971411
"132","Increasing","Congruent","Italian Preschoolers",1.25052707142857,0.0666666666666667,1.33985043367347
"132","Increasing","Incongruent","Italian Preschoolers",1.07371930769231,0.133333333333333,1.23890689349112
"133","Decreasing","Congruent","Italian Preschoolers",1.11280406666667,0,1.11280406666667
"133","Decreasing","Incongruent","Italian Preschoolers",0.89941475,0.2,1.1242684375
"133","Increasing","Congruent","Italian Preschoolers",1.02605046666667,0,1.02605046666667
"133","Increasing","Incongruent","Italian Preschoolers",0.802800866666667,0,0.802800866666667
"134","Decreasing","Congruent","Italian Preschoolers",1.16115814285714,0.0666666666666667,1.24409801020408
"134","Decreasing","Incongruent","Italian Preschoolers",1.270748,0.0666666666666667,1.36151571428571
"134","Increasing","Congruent","Italian Preschoolers",1.10714893333333,0,1.10714893333333
"134","Increasing","Incongruent","Italian Preschoolers",1.0505865,0.0666666666666667,1.12562839285714
"135","Decreasing","Congruent","Italian Preschoolers",1.4009625,0.333333333333333,2.10144375
"135","Decreasing","Incongruent","Italian Preschoolers",1.3659597,0.333333333333333,2.04893955
"135","Increasing","Congruent","Italian Preschoolers",1.22280966666667,0,1.22280966666667
"135","Increasing","Incongruent","Italian Preschoolers",1.44697521428571,0.0666666666666667,1.55033058673469
"136","Decreasing","Congruent","Italian Preschoolers",1.4859319,0.333333333333333,2.22889785
"136","Decreasing","Incongruent","Italian Preschoolers",1.40864744444444,0.4,2.34774574074074
"136","Increasing","Incongruent","Italian Preschoolers",1.820915,0.333333333333333,2.7313725
"136","Increasing","Congruent","Italian Preschoolers",1.779309,0.333333333333333,2.6689635
"139","Increasing","Congruent","Italian Preschoolers",1.54677661538462,0.133333333333333,1.78474224852071
"139","Increasing","Incongruent","Italian Preschoolers",1.4826099,0.333333333333333,2.22391485
"139","Decreasing","Incongruent","Italian Preschoolers",1.53529738461538,0.133333333333333,1.77149698224852
"139","Decreasing","Congruent","Italian Preschoolers",1.6898045,0.0666666666666667,1.81050482142857
"14","Increasing","Incongruent","Italian Adults",0.476142866666667,0,0.476142866666667
"14","Decreasing","Congruent","Italian Adults",0.787234466666667,0,0.787234466666667
"14","Decreasing","Incongruent","Italian Adults",0.835893,0,0.835893
"14","Increasing","Congruent","Italian Adults",0.453931333333333,0,0.453931333333333
"140","Increasing","Congruent","Italian Preschoolers",1.08863535714286,0.0666666666666667,1.1663950255102
"140","Decreasing","Congruent","Italian Preschoolers",0.896741846153846,0.133333333333333,1.03470213017751
"140","Decreasing","Incongruent","Italian Preschoolers",1.13031585714286,0.0666666666666667,1.21105270408163
"140","Increasing","Incongruent","Italian Preschoolers",1.12904085714286,0.0666666666666667,1.20968663265306
"141","Increasing","Incongruent","Italian Preschoolers",0.798306733333333,0,0.798306733333333
"141","Decreasing","Congruent","Italian Preschoolers",0.739753083333333,0.2,0.924691354166667
"141","Decreasing","Incongruent","Italian Preschoolers",0.955558727272727,0.266666666666667,1.30303462809917
"141","Increasing","Congruent","Italian Preschoolers",0.838229533333333,0,0.838229533333333
"142","Decreasing","Congruent","Italian Preschoolers",0.630585,0,0.630585
"142","Decreasing","Incongruent","Italian Preschoolers",0.621700333333333,0,0.621700333333333
"142","Increasing","Congruent","Italian Preschoolers",0.661615266666667,0,0.661615266666667
"142","Increasing","Incongruent","Italian Preschoolers",0.595991857142857,0.0666666666666667,0.638562704081633
"143","Increasing","Congruent","Italian Preschoolers",1.5770975,0.2,1.971371875
"143","Increasing","Incongruent","Italian Preschoolers",1.75400657142857,0.0666666666666667,1.87929275510204
