"Part_ID","Task","Stimuli","cor","exp"
116,"Free","Dots",-0.155555555555556,"Italian Preschoolers"
118,"Free","Dots",0.155555555555556,"Italian Preschoolers"
119,"Free","Dots",1,"Italian Preschoolers"
120,"Free","Dots",0.866666666666667,"Italian Preschoolers"
121,"Free","Dots",-1,"Italian Preschoolers"
122,"Free","Dots",1,"Italian Preschoolers"
123,"Free","Dots",0.733333333333333,"Italian Preschoolers"
126,"Free","Dots",0.955555555555556,"Italian Preschoolers"
127,"Free","Dots",-0.6,"Italian Preschoolers"
129,"Free","Dots",0.244444444444444,"Italian Preschoolers"
130,"Free","Dots",-1,"Italian Preschoolers"
131,"Free","Dots",-0.377777777777778,"Italian Preschoolers"
132,"Free","Dots",-0.422222222222222,"Italian Preschoolers"
134,"Free","Dots",0.6,"Italian Preschoolers"
135,"Free","Dots",-1,"Italian Preschoolers"
137,"Free","Dots",1,"Italian Preschoolers"
138,"Free","Dots",0.155555555555556,"Italian Preschoolers"
139,"Free","Dots",1,"Italian Preschoolers"
140,"Free","Dots",1,"Italian Preschoolers"
141,"Free","Dots",0.377777777777778,"Italian Preschoolers"
143,"Free","Dots",0.911111111111111,"Italian Preschoolers"
